نام استان,نام شهر / شهرستان,آدرس نقشه نشان,عرض جغرافیایی (lat),طول جغرافیایی (lng),نام انگلیسی (Slug),مرکز استان
خراسان رضوی,مرکزیت / کل استان (خراسان رضوی),https://neshan.org/maps/places/razavi-khorasan-province#c35.817-60.919-6z-0p,35.817,60.919,razavi-khorasan-province,بله (استان)
خراسان رضوی,مشهد,https://neshan.org/maps/places/mashhad-city#c36.2972-59.6067-12z-0p,36.2972,59.6067,mashhad-city,بله
خراسان رضوی,نیشابور,https://neshan.org/maps/places/neyshabur-city#c36.2133-58.7958-12z-0p,36.2133,58.7958,neyshabur-city,خیر
خراسان رضوی,سبزوار,https://neshan.org/maps/places/sabzevar-city#c36.2126-57.6778-12z-0p,36.2126,57.6778,sabzevar-city,خیر
خراسان رضوی,تربت حیدریه,https://neshan.org/maps/places/torbat-heydariyeh-city#c35.2757-59.2195-12z-0p,35.2757,59.2195,torbat-heydariyeh-city,خیر
خراسان رضوی,قوچان,https://neshan.org/maps/places/quchan-city#c37.1060-58.5095-12z-0p,37.106,58.5095,quchan-city,خیر
خراسان رضوی,کاشمر,https://neshan.org/maps/places/kashmar-city#c35.2383-58.4656-12z-0p,35.2383,58.4656,kashmar-city,خیر
خراسان رضوی,تربت جام,https://neshan.org/maps/places/torbat-jam-city#c35.2442-60.6225-12z-0p,35.2442,60.6225,torbat-jam-city,خیر
خراسان رضوی,گناباد,https://neshan.org/maps/places/gonabad-city#c34.3529-58.6837-12z-0p,34.3529,58.6837,gonabad-city,خیر
تهران,مرکزیت / کل استان (تهران),https://neshan.org/maps/places/tehran-province#c35.6892-51.3890-8z-0p,35.6892,51.389,tehran-province,بله (استان)
تهران,تهران,https://neshan.org/maps/places/tehran-city#c35.6892-51.3890-12z-0p,35.6892,51.389,tehran-city,بله
تهران,شهریار,https://neshan.org/maps/places/shahriar-city#c35.6596-51.0592-12z-0p,35.6596,51.0592,shahriar-city,خیر
تهران,اسلامشهر,https://neshan.org/maps/places/eslamshahr-city#c35.5381-51.2319-12z-0p,35.5381,51.2319,eslamshahr-city,خیر
تهران,ری,https://neshan.org/maps/places/rey-city#c35.5908-51.4361-12z-0p,35.5908,51.4361,rey-city,خیر
تهران,ورامین,https://neshan.org/maps/places/varamin-city#c35.3242-51.6467-12z-0p,35.3242,51.6467,varamin-city,خیر
تهران,دماوند,https://neshan.org/maps/places/damavand-city#c35.7196-52.0649-12z-0p,35.7196,52.0649,damavand-city,خیر
تهران,پردیس,https://neshan.org/maps/places/pardis-city#c35.7381-51.8156-12z-0p,35.7381,51.8156,pardis-city,خیر
تهران,پرند,https://neshan.org/maps/places/parand-city#c35.4594-50.9702-12z-0p,35.4594,50.9702,parand-city,خیر
اصفهان,مرکزیت / کل استان (اصفهان),https://neshan.org/maps/places/isfahan-province#c32.6546-51.6680-7z-0p,32.6546,51.668,isfahan-province,بله (استان)
اصفهان,اصفهان,https://neshan.org/maps/places/isfahan-city#c32.6546-51.6680-12z-0p,32.6546,51.668,isfahan-city,بله
اصفهان,کاشان,https://neshan.org/maps/places/kashan-city#c33.9850-51.4100-12z-0p,33.985,51.41,kashan-city,خیر
اصفهان,نجف‌آباد,https://neshan.org/maps/places/najafabad-city#c32.6342-51.3668-12z-0p,32.6342,51.3668,najafabad-city,خیر
اصفهان,شاهین‌شهر,https://neshan.org/maps/places/shahin-shahr-city#c32.8624-51.5583-12z-0p,32.8624,51.5583,shahin-shahr-city,خیر
اصفهان,خمینی‌شهر,https://neshan.org/maps/places/khomeini-shahr-city#c32.6841-51.5239-12z-0p,32.6841,51.5239,khomeini-shahr-city,خیر
اصفهان,شهرضا,https://neshan.org/maps/places/shahreza-city#c32.0102-51.8665-12z-0p,32.0102,51.8665,shahreza-city,خیر
اصفهان,نطنز,https://neshan.org/maps/places/natanz-city#c33.5113-51.9167-12z-0p,33.5113,51.9167,natanz-city,خیر
فارس,مرکزیت / کل استان (فارس),https://neshan.org/maps/places/fars-province#c29.5918-52.5837-7z-0p,29.5918,52.5837,fars-province,بله (استان)
فارس,شیراز,https://neshan.org/maps/places/shiraz-city#c29.5918-52.5837-12z-0p,29.5918,52.5837,shiraz-city,بله
فارس,مرودشت,https://neshan.org/maps/places/marvdasht-city#c29.8742-52.8025-12z-0p,29.8742,52.8025,marvdasht-city,خیر
فارس,جهرم,https://neshan.org/maps/places/jahrom-city#c28.5000-53.5600-12z-0p,28.5,53.56,jahrom-city,خیر
فارس,فسا,https://neshan.org/maps/places/fasa-city#c28.9383-53.6482-12z-0p,28.9383,53.6482,fasa-city,خیر
فارس,کازرون,https://neshan.org/maps/places/kazerun-city#c29.6195-51.6541-12z-0p,29.6195,51.6541,kazerun-city,خیر
